,Hotel Name,Rating,Ratings,Remark
0,OYO 49472 Hotel City Club ,5.0,1,Fabulous
1,OYO 25018 Saanvi Saver,4.9,74,Fabulous
2,OYO 24205 White Castle,4.8,116,Excellent
3,OYO Home 48030 Comfortable Stay Newtown,4.8,103,Excellent
4,OYO 5048 Church View,4.8,387,Excellent
5,OYO 64771 The Platinum Inn,4.8,101,Excellent
6,SPOT ON 27697 Trisha Guest House SPOT,4.8,1442,Excellent
7,OYO 48739 Fantasy Stay,4.8,171,Excellent
8,SPOT ON 44039 Kolkata Guest House SPOT,4.8,852,Excellent
9,OYO 67194 Hotel Paradise ,4.8,20,Excellent
10,OYO 11530 Maa Tara Guest House,4.7,209,Excellent
11,OYO 1760 Salt Lake Sector 1,4.7,68,Excellent
12,OYO Townhouse 209 Habitat New Town,4.7,832,Excellent
13,OYO Home 48099 Spacious Stay Golpark,4.7,1530,Excellent
14,OYO 42659 The Ruby Inn,4.7,228,Excellent
15,OYO 64740 Sahu Palace,4.7,278,Excellent
16,OYO 16802 Transit Express,4.7,399,Excellent
17,OYO Home 38094 Dazzling Stay,4.6,175,Excellent
18,SPOT ON 36451 Pallyshree Guest House SPOT,4.6,1177,Excellent
19,OYO 71175 Green Palace Guest House,4.6,53,Excellent
20,OYO 47311 Black Daimond Hotel And Restaurant ,4.6,125,Excellent
21,OYO Home 46489 Designer Stay Kolkata Airport,4.6,1064,Excellent
22,OYO Home 44827 Cozy Stay Behala Kolkata,4.6,217,Excellent
23,OYO Home 45491 Luxurious Home,4.6,1569,Excellent
24,OYO Home 47668 Comfortable Home Ho Chi Min Sarani,4.6,620,Excellent
25,OYO Home 38808 Blissful Stay New Town,4.6,316,Excellent
26,OYO Home 63702 Cozy Stay Madurdaha,4.6,372,Excellent
27,OYO Home 38807 Blissful Stay New Town,4.6,971,Excellent
28,OYO 2703 Aryan Guest House,4.5,64,Excellent
29,OYO Home 46274 Delightful Stay Em Byepass,4.5,617,Excellent
30,Capital O 16172 Hotel Radiant,4.5,1109,Excellent
31,OYO 14778 G R Hospitality,4.5,459,Excellent
32,OYO 9000 The Syncretic Guest House,4.5,242,Excellent
33,OYO Home 47702 Designer Stay New Town,4.5,1149,Excellent
34,OYO 63871 Pg Guest House,4.5,411,Excellent
35,OYO 67054 Ankita Guest House,4.5,55,Excellent
36,OYO 16209 Hotel Ambar Palace,4.5,433,Excellent
37,OYO 67294 Filoxenia Inn Deluxe,4.5,157,Excellent
38,OYO 13039 Sradhanjali,4.5,244,Excellent
39,OYO 62042 Niloy Guest House,4.5,230,Excellent
40,OYO 1226 Salt Lake,4.5,176,Excellent
41,OYO Flagship 604 Ballygunj Kolkata,4.5,1156,Excellent
42,OYO 64123 New Metro Guest House,4.5,182,Excellent
43,SPOT ON 41329 Today Guest House 2 SPOT,4.5,945,Excellent
44,OYO 69062 City Palace,4.5,380,Excellent
45,OYO Home 41190 Spacious Stay Rajarhat,4.5,228,Excellent
46,OYO 15637 Transit Express,4.5,161,Excellent
47,SilverKey Executive Stays 29735 Deshapriya park,4.5,938,Excellent
48,SPOT ON 41332 Today Guest House 3 SPOT,4.5,788,Excellent
49,OYO 60810 Eco View,4.5,283,Excellent
50,Capital O 1487 Hotel Gardenia Deluxe,4.5,1506,Excellent
51,OYO 3436 Shree Utsav Palace Guest House,4.5,101,Excellent
52,Capital O 13477 Sreemaa,4.5,437,Excellent
53,Capital O 6836 Soho SA,4.5,851,Excellent
54,Capital O 19964 Aspiring Inn,4.5,672,Excellent
55,OYO Townhouse 060 Airport Green Arcade,4.4,1361,Very Good
56,OYO 48993 Shree Guest House,4.4,25,Very Good
57,OYO 48725 Hotel Ankit Raj,4.4,51,Very Good
58,Capital O 39338 Aura Circle,4.4,1390,Very Good
59,OYO 49469 Sukriti Guest House Deluxe,4.4,178,Very Good
60,OYO 61945 Padmavati Projects Pvt Ltd,4.4,216,Very Good
61,OYO Townhouse 229 Hotel Mannat International,4.4,1452,Very Good
62,Capital O 64261 Hotel Dream Plaza,4.4,591,Very Good
63,Capital O 63212 Hotel Ivory Deluxe,4.4,1405,Very Good
64,Capital O 48519 Platinum Velvet Inn ,4.4,1446,Very Good
65,OYO 24564 Paheli Inn,4.4,155,Very Good
66,OYO 46270 Vip Econstay Deluxe,4.4,368,Very Good
67,Capital O 50001 Krish Residency,4.4,504,Very Good
68,OYO 67454 London Rooms Deluxe,4.4,132,Very Good
69,OYO Townhouse 084 Golden Park Park street,4.4,2633,Very Good
70,OYO 8471 Sushama Accommodations Newtown,4.4,224,Very Good
71,SPOT ON 44386 Petals Residency SPOT,4.4,505,Very Good
72,OYO 44801 Buddies Adda,4.4,445,Very Good
73,OYO 70070 Delight Rooms,4.4,50,Very Good
74,Capital O 16042 Orion West Willows,4.3,757,Very Good
75,OYO 2038 Hotel Green Leaf Regency,4.3,145,Very Good
76,OYO 6729 Landmark AB Block,4.3,121,Very Good
77,Capital O 10212 Hotel West Willows Xanadu Deluxe,4.3,2187,Very Good
78,OYO 65779 Green Guest House,4.3,53,Very Good
79,OYO 14524 Platinum Solitaire,4.3,474,Very Good
80,OYO 10079 Rainbow Guest House,4.3,162,Very Good
81,OYO 11930 The Jumbo Stay,4.3,45,Very Good
82,SPOT ON 64196 Silver Green SPOT,4.2,485,Very Good
83,OYO 13132 Aradhana Inn,4.2,416,Very Good
84,OYO 11965 Krishna Guest House,4.2,126,Very Good
85,OYO 6019 City Inn,4.2,250,Very Good
86,OYO 13770 Shuvam Guest House,4.2,249,Very Good
87,OYO 64202 Shaan Guest House,4.2,110,Very Good
88,OYO 3039 Step Inn Guest House,4.2,375,Very Good
89,OYO 64170 The Quest Inn,4.2,133,Very Good
90,Capital O 14525 The Platinum Studio 50 Deluxe,4.2,1469,Very Good
91,OYO 11054 Amar Raj Guest House,4.2,84,Very Good
92,OYO 29966 Nirmala Mansion,4.2,216,Very Good
93,OYO 22566 Red Velvet Inn,4.2,426,Very Good
94,OYO 6644 Rittika Mansion,4.2,151,Very Good
95,OYO 16703 Hotel The Platinum,4.2,350,Very Good
96,OYO 18546 Badsha Inn,4.2,368,Very Good
97,OYO 12803 Moon Light Hotel,4.2,140,Very Good
98,OYO 22436 Crown Inn,4.2,149,Very Good
99,OYO Home 42258 Designer Stay Em Bypass,4.2,305,Very Good
100,OYO 61662 Prem Guest House,4.1,117,Very Good
101,OYO 11684 Divyajyoti Hotel,4.1,382,Very Good
102,OYO 10471 Hotel Samrat Palace,4.1,186,Very Good
103,OYO 2924 Prabhu Niketan,4.1,115,Very Good
104,OYO 37060 Air Sky,4.1,151,Very Good
105,SPOT ON 38858 Madhumilan SPOT,4.1,1147,Very Good
106,OYO 67427 Saga Guest House,4.1,84,Very Good
107,OYO Flagship 366 Salt Lake City Centre,4.1,2159,Very Good
108,OYO 15722 Hotel Padmavati,4.1,313,Very Good
109,Capital O 11617 The Grace,4.1,928,Very Good
110,OYO 19552 Golden Deer Guest House,4.1,262,Very Good
111,OYO 12528 Green View Guest House 2,4.1,93,Very Good
112,OYO 10014 Bishnupur,4.1,427,Very Good
113,OYO 30452 Transit Express Science City,4.1,141,Very Good
114,OYO 1015 Hotel Reliable Inn,4.1,238,Very Good
115,OYO 18490 Hotel Jagannath International,4.1,412,Very Good
116,OYO 28085 99 Kombo Stay,4.0,225,Very Good
117,OYO 63041 J.M.T. Guest House,4.0,93,Very Good
118,OYO 24553 Paradise Inn Newtown,4.0,117,Very Good
119,SPOT ON 49450 Silver Woods SPOT,4.0,563,Very Good
120,OYO 14232 Behala Guest House,4.0,274,Very Good
121,OYO 41336 Scout Garden,4.0,162,Very Good
122,OYO 10117 Spandan INN,4.0,156,Very Good
123,OYO 9543 Rajarhat,4.0,299,Very Good
124,OYO 14487 Hotel Stay Inn,4.0,364,Very Good
125,SPOT ON 68463 Aagman Guest House SPOT,4.0,8,Very Good
126,OYO 37046 Apollo Guest House,4.0,238,Very Good
127,OYO 41435 Golden Residency,4.0,247,Very Good
128,OYO 35873 Durbar Guest House,3.9,510,Good
129,OYO 11569 Jalan Lake View Deluxe,3.9,183,Good
130,OYO 10880 Silver Inn,3.9,230,Good
131,OYO 27998 Golden Inn,3.9,238,Good
132,OYO 46910 Sobhakul Guest House,3.9,40,Good
133,SPOT ON 67446 Ashiyana Lodge SPOT,3.9,39,Good
134,OYO 69673 Cv Guest House,3.9,78,Good
135,OYO 38746 Hotel Blue Star,3.9,195,Good
136,OYO 35693 Om Shanti Guest House,3.8,105,Good
137,OYO 68942 Xplore Hospitality,3.8,131,Good
138,OYO 70303 Abis Regency,3.8,175,Good
139,SPOT ON 66984 Hotel Atlantic SPOT,3.8,266,Good
140,OYO 63143 Airport View,3.8,178,Good
141,OYO 48358 Sanjyoti Inn,3.8,240,Good
142,SPOT ON 70605 Taj Guest House SPOT,3.8,47,Good
143,OYO 9001 Hotel East West,3.8,182,Good
144,OYO 16820 Ken Guest House,3.8,43,Good
145,OYO 30742 Amita Guest House,3.8,135,Good
146,SPOT ON 66474 Biswabani Guest House SPOT,3.7,601,Good
147,OYO 15617 ABI'S INN,3.7,440,Good
148,OYO 9153 Lotus Apartments,3.7,152,Good
149,OYO 63600 Hotel Lemon Arrow Inn,3.7,336,Good
150,OYO 28291 Akash Ganga Stay,3.7,102,Good
151,SPOT ON 67721 Maa Rakhakali Bhawan  SPOT,3.7,104,Good
152,OYO 5697 New Town,3.7,86,Good
153,OYO 2715 Bellanzo,3.7,110,Good
154,OYO 28208 Nirmala Palace,3.7,353,Good
155,OYO 70132 Royal Stay Deluxe,3.6,42,Good
156,OYO 65598 Amar Raj View,3.6,171,Good
157,OYO 7616 Maple The Residence,3.6,291,Good
158,SPOT ON 65762 Day Light SPOT,3.6,231,Good
159,OYO 8812 White Palace Hotel & Resort,3.6,183,Good
160,OYO 9312 Bharat Apartment,3.6,54,Good
161,SPOT ON 66415 Sonali Guest House  SPOT,3.6,141,Good
162,OYO 49183 Meera Guest House ,3.6,99,Good
163,OYO 8999 Rajarhat,3.6,172,Good
164,OYO 35656 Vip Tower Guest House,3.6,192,Good
165,OYO 15114 Ivy Hotel,3.6,226,Good
166,OYO 63614 Fortune Inn,3.5,114,Good
167,OYO 63936 Sonali Guest House ,3.5,137,Good
168,OYO 24591 Mishra Residency Newtown,3.5,151,Good
169,OYO 38796 Ruby's Inn,3.5,68,Good
170,OYO 30391 Stay Inn New Town,3.5,271,Good
171,OYO 5461 Zapper,3.5,234,Good
172,OYO 60595 Happy Hut,3.5,57,Good
173,SPOT ON 45061 Blue View Hotel Pvt Ltd SPOT,3.5,850,Good
174,OYO 65602 Rudranil Guest House,3.4,125,Fair
175,OYO 29161 Sonama Residency ,3.4,152,Fair
176,OYO 35678 Om Shanti International,3.4,168,Fair
177,OYO 17187 Urban Casa,3.4,149,Fair
178,OYO 67168 Regal Guest House Deluxe,3.3,3,Fair
179,OYO 37683 Second Home,3.3,34,Fair
180,SPOT ON 66470 Diamond Guest House SPOT,3.3,11,Fair
181,OYO 15738 Hotel Ag Star,3.3,63,Fair
182,OYO 63148 Vidyasagar Guest House,3.3,77,Fair
183,SPOT ON 68187 Dining Hall Hotel & Lodge SPOT,3.2,2,Fair
184,OYO 16600 Ken Guest House 2,3.1,4,Fair
185,OYO 794 Hotel East Palace,3.1,64,Fair
186,SPOT ON 45041 Fancy Guest House SPOT,0.0,0,No remark
187,OYO 63447 Ishan Guest House,0.0,0,No remark
188,SPOT ON 62535 Abhishek Lodge SPOT,0.0,0,No remark
189,SPOT ON 69078 New Maa Tara Guest House SPOT,0.0,0,No remark
190,OYO 63219 Amtala Guest House,0.0,0,No remark
191,OYO 41606 Star Hotel,0.0,0,No remark
192,OYO 49903 Hotel Geetanjali- Dekuxe,0.0,0,No remark
193,SPOT ON 62283 Maa Kamala Guest House SPOT,0.0,0,No remark
194,SPOT ON 61404 Rashmoni Hotel SPOT,0.0,0,No remark
195,SPOT ON 49584 Asmi Hotel SPOT,0.0,0,No remark
196,SPOT ON 66314 Sulekha Lodge  SPOT,0.0,0,No remark
197,OYO 9662 Kajali Guest House,0.0,0,No remark
198,SPOT ON 67631 Maa Tara Guest House SPOT,0.0,0,No remark
199,OYO 37732 Eco Rest,0.0,0,No remark
